delay,drop,filesize,tcp,bandwidth,time
0,0,0.19MB,"cubic",HIGH,0.223
50,0,0.19MB,"cubic",HIGH,1.15
100,0,0.19MB,"cubic",HIGH,1.48
200,0,0.19MB,"cubic",HIGH,2.92
0,0.1,0.19MB,"cubic",HIGH,0.134
50,0.1,0.19MB,"cubic",HIGH,1.257
100,0.1,0.19MB,"cubic",HIGH,2.19
200,0.1,0.19MB,"cubic",HIGH,3.5
0,0.2,0.19MB,"cubic",HIGH,0.236
50,0.2,0.19MB,"cubic",HIGH,0.905
100,0.2,0.19MB,"cubic",HIGH,1.936
200,0.2,0.19MB,"cubic",HIGH,4.87
0,0,1.04MB,"cubic",HIGH,0.589
50,0,1.04MB,"cubic",HIGH,2.727
100,0,1.04MB,"cubic",HIGH,3.84
200,0,1.04MB,"cubic",HIGH,5.864
0,0.1,1.04MB,"cubic",HIGH,0.726
50,0.1,1.04MB,"cubic",HIGH,3.01
100,0.1,1.04MB,"cubic",HIGH,5.2
200,0.1,1.04MB,"cubic",HIGH,6.724
0,0.2,1.04MB,"cubic",HIGH,0.59
50,0.2,1.04MB,"cubic",HIGH,3.4
100,0.2,1.04MB,"cubic",HIGH,5.82
200,0.2,1.04MB,"cubic",HIGH,10.58
0,0,3.1MB,"cubic",HIGH,1.3781
50,0,3.1MB,"cubic",HIGH,2.88
100,0,3.1MB,"cubic",HIGH,6.557
200,0,3.1MB,"cubic",HIGH,7.84
0,0.1,3.1MB,"cubic",HIGH,1.27
50,0.1,3.1MB,"cubic",HIGH,3.534
100,0.1,3.1MB,"cubic",HIGH,5.76
200,0.1,3.1MB,"cubic",HIGH,9.246
0,0.2,3.1MB,"cubic",HIGH,1.3799
50,0.2,3.1MB,"cubic",HIGH,8.917
100,0.2,3.1MB,"cubic",HIGH,11.486
200,0.2,3.1MB,"cubic",HIGH,18.757
0,0,0.19MB,"reno",HIGH,0.19
50,0,0.19MB,"reno",HIGH,0.99
100,0,0.19MB,"reno",HIGH,1.786
200,0,0.19MB,"reno",HIGH,3.475
0,0.1,0.19MB,"reno",HIGH,0.195
50,0.1,0.19MB,"reno",HIGH,1.2177
100,0.1,0.19MB,"reno",HIGH,2.483
200,0.1,0.19MB,"reno",HIGH,4.284
0,0.2,0.19MB,"reno",HIGH,0.183
50,0.2,0.19MB,"reno",HIGH,1.3939
100,0.2,0.19MB,"reno",HIGH,2.197
200,0.2,0.19MB,"reno",HIGH,4.174
0,0,1.04MB,"reno",HIGH,0.543
50,0,1.04MB,"reno",HIGH,3.351
100,0,1.04MB,"reno",HIGH,6.06628
200,0,1.04MB,"reno",HIGH,10.5
0,0.1,1.04MB,"reno",HIGH,0.592
50,0.1,1.04MB,"reno",HIGH,4.174
100,0.1,1.04MB,"reno",HIGH,6.182
200,0.1,1.04MB,"reno",HIGH,10.486
0,0.2,1.04MB,"reno",HIGH,0.565
50,0.2,1.04MB,"reno",HIGH,4.9
100,0.2,1.04MB,"reno",HIGH,7.274
200,0.2,1.04MB,"reno",HIGH,17.432
0,0,3.1MB,"reno",HIGH,1.265
50,0,3.1MB,"reno",HIGH,4.91
100,0,3.1MB,"reno",HIGH,9.015
200,0,3.1MB,"reno",HIGH,20.135
0,0.1,3.1MB,"reno",HIGH,1.353
50,0.1,3.1MB,"reno",HIGH,8.3
100,0.1,3.1MB,"reno",HIGH,14.5
200,0.1,3.1MB,"reno",HIGH,19.837
0,0.2,3.1MB,"reno",HIGH,1.475
50,0.2,3.1MB,"reno",HIGH,11.236
100,0.2,3.1MB,"reno",HIGH,19.0
200,0.2,3.1MB,"reno",HIGH,39.112
0,0,0.19MB,"vegas",HIGH,0.2106
50,0,0.19MB,"vegas",HIGH,0.965
100,0,0.19MB,"vegas",HIGH,1.7
200,0,0.19MB,"vegas",HIGH,4.38
0,0.1,0.19MB,"vegas",HIGH,0.09
50,0.1,0.19MB,"vegas",HIGH,1.01
100,0.1,0.19MB,"vegas",HIGH,1.68
200,0.1,0.19MB,"vegas",HIGH,3.82
0,0.2,0.19MB,"vegas",HIGH,0.15
50,0.2,0.19MB,"vegas",HIGH,0.95
100,0.2,0.19MB,"vegas",HIGH,2.37
200,0.2,0.19MB,"vegas",HIGH,4.334
0,0,1.04MB,"vegas",HIGH,0.6
50,0,1.04MB,"vegas",HIGH,2.66
100,0,1.04MB,"vegas",HIGH,3.8
200,0,1.04MB,"vegas",HIGH,9.95
0,0.1,1.04MB,"vegas",HIGH,0.59
50,0.1,1.04MB,"vegas",HIGH,3.813
100,0.1,1.04MB,"vegas",HIGH,4.85
200,0.1,1.04MB,"vegas",HIGH,13.6
0,0.2,1.04MB,"vegas",HIGH,0.627
50,0.2,1.04MB,"vegas",HIGH,3.59
100,0.2,1.04MB,"vegas",HIGH,6.72
200,0.2,1.04MB,"vegas",HIGH,15.56
0,0,3.1MB,"vegas",HIGH,1.6
50,0,3.1MB,"vegas",HIGH,4.57
100,0,3.1MB,"vegas",HIGH,6.202
200,0,3.1MB,"vegas",HIGH,17.12
0,0.1,3.1MB,"vegas",HIGH,2.07
50,0.1,3.1MB,"vegas",HIGH,6.7
100,0.1,3.1MB,"vegas",HIGH,13.2
200,0.1,3.1MB,"vegas",HIGH,26.3
0,0.2,3.1MB,"vegas",HIGH,1.86
50,0.2,3.1MB,"vegas",HIGH,9.804
100,0.2,3.1MB,"vegas",HIGH,16.174
200,0.2,3.1MB,"vegas",HIGH,42.76











0,0,0.19MB,"cubic",lowest,1.61
50,0,0.19MB,"cubic",lowest,1.79
100,0,0.19MB,"cubic",lowest,2.137
200,0,0.19MB,"cubic",lowest,2.935
0,0.1,0.19MB,"cubic",lowest,1.618
50,0.1,0.19MB,"cubic",lowest,1.752
100,0.1,0.19MB,"cubic",lowest,2.225
200,0.1,0.19MB,"cubic",lowest,3.35
0,0.2,0.19MB,"cubic",lowest,1.625
50,0.2,0.19MB,"cubic",lowest,1.782
100,0.2,0.19MB,"cubic",lowest,2.34
200,0.2,0.19MB,"cubic",lowest,4.3
0,0,1.04MB,"cubic",lowest,9.44
50,0,1.04MB,"cubic",lowest,9.56
100,0,1.04MB,"cubic",lowest,10.03
200,0,1.04MB,"cubic",lowest,10.92
0,0.1,1.04MB,"cubic",lowest,9.413
50,0.1,1.04MB,"cubic",lowest,9.556
100,0.1,1.04MB,"cubic",lowest,9.97
200,0.1,1.04MB,"cubic",lowest,11.753
0,0.2,1.04MB,"cubic",lowest,9.427
50,0.2,1.04MB,"cubic",lowest,9.68
100,0.2,1.04MB,"cubic",lowest,10.06
200,0.2,1.04MB,"cubic",lowest,1.8
0,0,3.1MB,"cubic",lowest,29.37
50,0,3.1MB,"cubic",lowest,27.4
100,0,3.1MB,"cubic",lowest,27.875
200,0,3.1MB,"cubic",lowest,28.85
0,0.1,3.1MB,"cubic",lowest,27.27
50,0.1,3.1MB,"cubic",lowest,27.562
100,0.1,3.1MB,"cubic",lowest,27.725
200,0.1,3.1MB,"cubic",lowest,29.69
0,0.2,3.1MB,"cubic",lowest,27.464
50,0.2,3.1MB,"cubic",lowest,27.523
100,0.2,3.1MB,"cubic",lowest,28.04
200,0.2,3.1MB,"cubic",lowest,30.6
0,0,0.19MB,"reno",lowest,1.618
50,0,0.19MB,"reno",lowest,1.755
100,0,0.19MB,"reno",lowest,2.14
200,0,0.19MB,"reno",lowest,2.98
0,0.1,0.19MB,"reno",lowest,1.614
50,0.1,0.19MB,"reno",lowest,1.82
100,0.1,0.19MB,"reno",lowest,2.31
200,0.1,0.19MB,"reno",lowest,4.07
0,0.2,0.19MB,"reno",lowest,1.612
50,0.2,0.19MB,"reno",lowest,1.79
100,0.2,0.19MB,"reno",lowest,2.35
200,0.2,0.19MB,"reno",lowest,4.167
0,0,1.04MB,"reno",lowest,9.4
50,0,1.04MB,"reno",lowest,9.54
100,0,1.04MB,"reno",lowest,10.25
200,0,1.04MB,"reno",lowest,11.742
0,0.1,1.04MB,"reno",lowest,9.4
50,0.1,1.04MB,"reno",lowest,9.57
100,0.1,1.04MB,"reno",lowest,10.358
200,0.1,1.04MB,"reno",lowest,15.1
0,0.2,1.04MB,"reno",lowest,9.41
50,0.2,1.04MB,"reno",lowest,9.61
100,0.2,1.04MB,"reno",lowest,10.24
200,0.2,1.04MB,"reno",lowest,15.24
0,0,3.1MB,"reno",lowest,27.26
50,0,3.1MB,"reno",lowest,27.334
100,0,3.1MB,"reno",lowest,27.77
200,0,3.1MB,"reno",lowest,33.91
0,0.1,3.1MB,"reno",lowest,27.25
50,0.1,3.1MB,"reno",lowest,27.52
100,0.1,3.1MB,"reno",lowest,28.38
200,0.1,3.1MB,"reno",lowest,39.86
0,0.2,3.1MB,"reno",lowest,27.35
50,0.2,3.1MB,"reno",lowest,27.4
100,0.2,3.1MB,"reno",lowest,29.29
200,0.2,3.1MB,"reno",lowest,45.78
0,0,0.19MB,"vegas",lowest,1.612
50,0,0.19MB,"vegas",lowest,1.737
100,0,0.19MB,"vegas",lowest,2.2157
200,0,0.19MB,"vegas",lowest,3.39
0,0.1,0.19MB,"vegas",lowest,1.615
50,0.1,0.19MB,"vegas",lowest,1.736
100,0.1,0.19MB,"vegas",lowest,2.19
200,0.1,0.19MB,"vegas",lowest,4.02
0,0.2,0.19MB,"vegas",lowest,1.61
50,0.2,0.19MB,"vegas",lowest,1.75
100,0.2,0.19MB,"vegas",lowest,2.284
200,0.2,0.19MB,"vegas",lowest,3.568
0,0,1.04MB,"vegas",lowest,9.381
50,0,1.04MB,"vegas",lowest,9.552
100,0,1.04MB,"vegas",lowest,10.036
200,0,1.04MB,"vegas",lowest,11.753
0,0.1,1.04MB,"vegas",lowest,9.403
50,0.1,1.04MB,"vegas",lowest,9.562
100,0.1,1.04MB,"vegas",lowest,10.366
200,0.1,1.04MB,"vegas",lowest,12.512
0,0.2,1.04MB,"vegas",lowest,9.411
50,0.2,1.04MB,"vegas",lowest,9.662
100,0.2,1.04MB,"vegas",lowest,10.6
200,0.2,1.04MB,"vegas",lowest,14.1
0,0,3.1MB,"vegas",lowest,27.177
50,0,3.1MB,"vegas",lowest,27.318
100,0,3.1MB,"vegas",lowest,27.82
200,0,3.1MB,"vegas",lowest,30.67
0,0.1,3.1MB,"vegas",lowest,27.2
50,0.1,3.1MB,"vegas",lowest,27.72
100,0.1,3.1MB,"vegas",lowest,29.47
200,0.1,3.1MB,"vegas",lowest,32.04
0,0.2,3.1MB,"vegas",lowest,27.21
50,0.2,3.1MB,"vegas",lowest,27.7
100,0.2,3.1MB,"vegas",lowest,30.265
200,0.2,3.1MB,"vegas",lowest,37.89